Rank,NCT Number,Title,Conditions,Interventions,Sponsor/Collaborators,Phases,Enrollment,Funded Bys,Start Date,Primary Completion Date,Completion Date
1,NCT05869201,"Tolerability, Safety and Immunogenicity Trial of the Flu-M Quadro, Tetravalent Inactivated Split Influenza Vaccine","Influenza|Influenza, Human|Influenza Viral Infections|Vaccine Reaction|Vaccination; Infection",Biological: Influenza vaccine [inactivated],St. Petersburg Research Institute of Vaccines and Sera,Phase 2|Phase 3,450,Other,"October 6, 2020","December 8, 2020","December 8, 2020"
2,NCT05862441,A Study to Assess the Efficacy of Omnivirol-Salicylic Acid Combination Therapy for Cutaneous Warts With Emphasis on Persistent Warts,Cutaneous Warts,Drug: AV2-SA2|Drug: SA,Universiteit Antwerpen,Phase 2|Phase 3,260,Other,"January 1, 2018","December 31, 2019","December 31, 2019"
3,NCT05736081,Short-term Effect of Intravitreal Dexamethasone Implant in Refractory Diabetic Macular Edema,Diabetic Macular Edema,Procedure: Intravitreal dexamethasone implant,Asociación para Evitar la Ceguera en México,Phase 2|Phase 3,15,Other,"February 15, 2018","June 30, 2019","June 30, 2019"
4,NCT05702957,Letrozole vs Clomiphene Citrate for Induction of Ovulation in Women With Polycystic Ovarian Syndrome,Polycystic Ovary Syndrome|Infertility,Drug: letrozole 2.5mg-7.5mg|Drug: Clomiphene Citrate 50mg-150mg,"Services Institute of Medical Sciences, Pakistan",Phase 2|Phase 3,220,Other,Sep-16,Oct-19,Dec-19
5,NCT05665985,Effect Of Moringa Leaf Extract On Disease Activity In Rheumatoid Arthritis Patients,Rheumatoid Arthritis,Drug: Moringa Oleifera,Universitas Sebelas Maret,Phase 1|Phase 2,30,Other,"May 1, 2020","July 30, 2020","September 30, 2020"
6,NCT05651256,Efficacy of Botulinum Toxin in Temporomandibular Disorders,Temporomandibular Joint Disorder Bilateral,Drug: Botulinum toxin type A injection,University of Salamanca,Phase 2|Phase 3,20,Other,"March 1, 2021","March 30, 2021","July 30, 2021"
7,NCT05631444,Bone Marrow Mononuclear Cells vs Mesenchymal Stem Cells in Diabetic Patients With Chronic Limb Ischemia,Chronic Limb-threatening Ischemia|Diabetes Mellitus,Biological: Cell-based therapy,Fundación Oftalmológica de Santander Clínica Carlos Ardila Lulle,Phase 1|Phase 2,24,Other,"January 1, 2019","September 30, 2020","October 28, 2022"
8,NCT05600673,Combined CO2 Fractional Laser With Bimatoprost 0.03% Treatment of Alopecia Areata,Alopecia Areata,Drug: Bimatoprost 0.03% solution|Device: CO2 fractional laser,Ahmed Hassan Nouh MD|Al-Azhar University,Phase 1|Phase 2,30,Other,"January 1, 2019","January 30, 2021","May 1, 2021"
9,NCT05573425,Comparing the Efficacy of Topical Tazarotene Gel 0.1% v/s Microneedling in Atrophic Post Acne Scars,Acne Scar,Drug: Tazarotene gel 0.1%|Device: Microneedling,Jinnah Postgraduate Medical Centre,Phase 2|Phase 3,202,Other,"August 22, 2020","February 21, 2021","February 21, 2021"
10,NCT05547659,Multimodal and Unimodal Analgesia in Cholecystectomy,Compare Unimodal and Multimodal Analgesics,Drug: Pregabalin 150mg|Drug: Acetaminophen 1 G Oral Tablet|Drug: Celecoxib 400Mg Oral Capsule,October 6 University|Beni-Suef University,Phase 1|Phase 2,95,Other,"January 1, 2019","April 1, 2020","December 1, 2020"
11,NCT05484856,Evaluation of Clinical Efficacy of Autologous Adipose Tissue Derived ADSCSs in Treatment of Osteoarthritis (OA),"Osteoarthritis, Knee",Biological: Autologous adipose tissue derived stromal cells,Dr. Himanshu Bansal Foundation,Phase 1|Phase 2,140,Other,"May 16, 2016","June 27, 2020","February 25, 2021"
12,NCT05445089,Study to Verify the Effectiveness and Safety of Isothymol or Carvacrol Compound Against SARS-CoV-2 in COVID-19 Patients,COVID-19|COVID-19 Pneumonia|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|COVID-19 Lower Respiratory Infection,Drug: Carvacrol|Other: Control group,Instituto Venezolano de Investigaciones Cientificas,Phase 2|Phase 3,600,Other,"August 1, 2020","November 1, 2020","December 15, 2020"
13,NCT05359484,Delta Q Value to Discriminate Detrusor Underactivity From Bladder Outlet Obstruction,Urinary Obstruction|Detrusor Underactivity,Diagnostic Test: Uroflowmetry,Ain Shams University,Phase 2|Phase 3,238,Other,"January 1, 2019","January 1, 2021","May 1, 2021"
14,NCT05299242,"The Anti-Freaze-F Study- ""Anti-TNF for Treatment of Frozen Shoulder - a Feasibility Study""",Frozen Shoulder,Drug: Adalimumab Injection|Drug: Placebo,"University of Oxford|National Institute for Health Research, United Kingdom|180 Life Sciences",Phase 2|Phase 3,9,Other,"February 17, 2017","January 20, 2020","July 20, 2020"
15,NCT05283317,Effect of Mesenchymal Stromal Cells on Sepsis and Septic Shock,Sepsis|Septic Shock,Biological: Mesenchymal stem cells,TC Erciyes University,Phase 1|Phase 2,30,Other,"March 11, 2018","August 25, 2019","November 13, 2019"
16,NCT05241145,Safety and Preliminary Efficacy of IVMED-80 Eye Drops in Keratoconus Patients,Keratoconus|Corneal Ectasia,Drug: IVMED-80|Other: Placebo,"iVeena Delivery Systems, Inc.|Codet Vision Institute",Phase 1|Phase 2,38,Industry|Other,"February 8, 2019","July 8, 2020","July 8, 2020"
17,NCT05192265,Efficacy and Safety of Pyronaridine-Artesunate Versus Artemether-Lumefantrine,Malaria Fever|Plasmodium Falciparum Malaria|Uncomplicated Malaria,"Drug: Antimalarials, pyronaridine-artesunate|Drug: Antimalarials, Artemether + Lumefantrine","University of Ibadan|Shin Poong Pharm Co Ltd 161 yoksam-ro, Gangnam-Gu Seoul 135-925, Korea|Institute for Advanced Medical Research and Training, University of Ibadan, Ibadan",Phase 2|Phase 3,172,Other,"May 20, 2019","December 23, 2020","December 23, 2020"
18,NCT05154591,CKDu Treated With Intra-arterial Infusion of Autologous SVF Cells,Chronic Renal Failure of Unknown Cause,Genetic: Adipose-derived stromal vascular fraction cells,Samuel Vilchez|Ministerio de Salud de Nicaragua|GID BIO|National Autonomous University of Nicaragua,Phase 1|Phase 2,18,Other,"January 1, 2018","February 28, 2021","February 28, 2021"
19,NCT05149339,Vitamin D Effect on A Disintegrin-like And Metalloprotease Thrombospondin1 Motif 13& Interleukin 6 in Leukemia,Acute Myeloid Leukemia|Vitamin D Deficiency|ADAMTS13|Interleukin 6,Drug: Cholecalciferol 2800 I.U. ml oral drops,Zagazig University,Phase 1|Phase 2,38,Other,"March 1, 2019","February 1, 2020","March 15, 2021"
20,NCT05149248,Prevention and Control of Neoplasms Associated With HPV in High-risk Groups in Mexico City: The Condesa Study,Cancer of Cervix,"Biological: Gardasil® [Quadrivalent Human Papillomavirus (Types 6,11,16,18) Recombinant vaccine]|Biological: Two dose|Other: Control group|Biological: 2 dose vaccination over 6 month","Instituto Nacional de Salud Publica, Mexico|Universidad Nacional Autonoma de Mexico|National Council of Science and Technology, Mexico",Phase 2|Phase 3,6000,Other,"May 30, 2018","October 30, 2019","November 28, 2019"
21,NCT05145686,The Role of Matrix Metalloproteinases on the Primary Teeth Pulpotomy Treatments,Reversible Pulpitis,"Diagnostic Test: Matris metalloproteinase -2, -8, -9 expressions",Ege University,Phase 1|Phase 2,57,Other,"January 1, 2018","July 1, 2019","December 1, 2019"
22,NCT05145530,Selective Nerve Root Block With Ultrasound Guidance Improves Surgical Outcome of Selective Discectomy in Patients With Multilevel Cervical Disc Disease,Selective Nerve Root Block|Selective Discectomy,Procedure: selective anterior cervical discectomy and fusion (ACDF)|Procedure: SNRB+ selective anterior cervical discectomy and fusion (ACDF),Assiut University,Phase 2|Phase 3,60,Other,"August 10, 2017","March 30, 2020","April 30, 2020"
23,NCT05132270,Clinical Experience of Thalidomide in Thalassemic Patients,"Thalassemia, Beta",Drug: hydroxyurea and thalidomide,Children's Hospital Karachi,Phase 2|Phase 3,135,Other,"January 1, 2020","December 31, 2020","January 31, 2021"
24,NCT05127018,Higher Doses of Botulinum Toxin in the Treatment of Gummy Smile,"Smiling|Botulinum Toxins, Type A",Drug: injection of Botulinum type A,Peking University,Phase 1|Phase 2,33,Other,"November 20, 2019","August 20, 2020","October 20, 2021"
25,NCT05091775,The Efficacy of Asacol (Mesalazine) Suppository on the Treatment of Diarrhea-Induced Acute Fissure,Fissure in Ano|Diarrhea,Drug: Asacol is used to treat and prevent mild to moderate acute fissure disease,Shiraz University of Medical Sciences,Phase 1|Phase 2,140,Other,"June 1, 2020","August 2, 2020","January 10, 2021"
26,NCT05082662,"Bioequivalence Study to Compare Diclofenac Potassium Coated Tablet (50 mg Diclofenac Potassium) Versus Cataflam® 50 Coated Tablet (50 mg Diclofenac Potassium), in Healthy Subjects Under Fasting Condition",Non-steroidal Anti-inflammatory (NSAID)|Analgesic|Antipyretic,Drug: Diclofenac Potassium coated tablet (50 mg Diclofenac Potassium)|Drug: Cataflam® 50 coated tablet,Pharmactive Ilac Sanayi ve Tic A.S.,Phase 1|Phase 2,36,Industry,"August 25, 2020","September 16, 2020","September 16, 2020"
27,NCT05067608,Study on the Safety and Efficacy of Cryopreserved Platelets in Hypoproliferative Thrombocytopenic Patients,Hypoproliferative Thrombocytopenia,Biological: Control arm receiving normal (never before frozen) platelets as per current clinical practice|Biological: Treatment arm receiving cryopreserved platelets,"Singapore General Hospital|DSO National Laboratories|Health Sciences Authority, Singapore",Phase 1|Phase 2,17,Other,"October 25, 2019","March 24, 2021","March 24, 2021"
28,NCT05050071,"Evaluation of Antibacterial Effect of Allium Sativum, Calcium Hydroxide and Their Combination in Infected Mature Teeth",Drug Effect,Drug: Allium Sativum|Device: Polymerase chain reaction,Suez Canal University,Phase 2|Phase 3,48,Other,"October 8, 2019","October 8, 2020","July 17, 2021"
29,NCT05046548,"This is a Double-blind, Placebo-controlled, Randomized Study of the Tolerability, Safety and Immunogenicity of an Inactivated Whole Virion Concentrated Purified Vaccine (CoviVac) Against Covid-19",Coronavirus Infections|Vaccine,Biological: Vaccine for intramuscular injection|Other: Placebo comparator (without active ingredient) for intramuscular injection,Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products,Phase 1|Phase 2,400,Other,"October 3, 2020","October 15, 2020","October 1, 2021"
30,NCT05031143,Suprachoroidal Triamcinolone Acetonide in Harada's Retinal Detachment,Vogt Koyanagi Harada Disease,Drug: Suprachoroidal Triamcinolone acetonide injection for serous retinal detachment in VKH disease,Benha University,Phase 2|Phase 3,6,Other,"April 1, 2020","February 20, 2021","August 24, 2021"
31,NCT05017844,"[KSR-001-P02] Phase 2b/3 Study, Evaluate the Efficacy and Safety of KSR-001 in Patients With Dry Eye Syndrome",Dry Eye Syndromes,Drug: KSR-001-04|Drug: KSR-001-02|Drug: KSR-001-03,"Kukje Pharma|Samil Pharmaceutical Co., Ltd.",Phase 2|Phase 3,222,Other|Industry,"February 18, 2020","February 8, 2021","June 22, 2021"
32,NCT05017493,"Treatment of Covid-19 With a Herbal Compound, Xagrotin",Covid19,Combination Product: Xagrotin,"Biomad AS|Directorate of health of Sulaimani, Iraq -KRG",Phase 1|Phase 2,661,Industry|Other,"July 1, 2020","December 7, 2020","February 8, 2021"
33,NCT04996810,The Safety and Efficacy Study of PROTOXIN in Subjects With Moderate to Severe Glabellar Lines,Glabellar Frown Lines,Biological: PROTOXIN|Biological: Botox®,Protox Inc.,Phase 1|Phase 2,60,Industry,"December 10, 2020","April 2, 2021","May 26, 2021"
34,NCT04990830,Effects of Low Molecular Weight Heparin Therapy With Soft-Mist Inhaler for COVID-19 Induced Hypoxemia,COVID-19 Acute Respiratory Distress Syndrome|Hypoxemia,Drug: Inhaled Low molecular weight heparin|Drug: Standard Treatment,Istanbul University,Phase 2|Phase 3,80,Other,"February 3, 2021","April 21, 2021","May 21, 2021"
35,NCT04988776,PECS II Versus ICBN Block Plus SCNB for AV Fistula Creation in CRF Patients,Intraoperative Analgesia|Postoperative Pain,Other: ultrasUltrasound-guided Intercostobrachial nerve block supplemental to supraclavicular block with 30 ml 0.25% bupivacaine (15 ml 0.5% bupivacaine will be added to 15 m|Other: ultrasound-guided pectoral nerves block type II supplemental to supraclavicular block,Menoufia University|Mamdoh Elsayed Lotfy|amany aly sultan|reem gaber abdel-mageed,Phase 1|Phase 2,40,Other,"February 1, 2020","February 28, 2021","February 28, 2021"
36,NCT04973488,Therapeutic Plasma Exchange Followed by Convalescent Plasma Transfusion in Severe and Critically Ill COVID-19 Patients,COVID-19 Pneumonia|COVID-19 Respiratory Infection|Acute Respiratory Failure|Acute Respiratory Distress Syndrome,Other: Therapeutic plasma exchange,"Novacescu Alexandru|University of Medicine and Pharmacy ""Victor Babes"" Timisoara",Phase 2|Phase 3,38,Other,"July 25, 2020","January 10, 2021","January 10, 2021"
37,NCT04971759,Dexmedetomidine to Levobupivacaine for Transversus Abdominis Plane Block in Elderly Patients Undergoing Inguinal Hernia Repair Surgery,Dexmedetomidine|Fentanyl,Drug: Levobupivacaine|Drug: Dexmedetomidine Hydrochloride|Drug: Fentanyl,Assiut University,Phase 2|Phase 3,90,Other,"December 1, 2019","December 30, 2020","February 1, 2021"
38,NCT04968392,Single-shot Adductor Canal Block With Levobupivacaine and Dexmedetomidine in Total Knee Arthroplasty,Adductor Canal Block|Levobupivacaine|Dexmedetomidine,Drug: Dexmedetomidine Hydrochloride|Drug: Levobupivacaine,Assiut University,Phase 2|Phase 3,60,Other,"March 1, 2019","February 1, 2020","May 1, 2020"
39,NCT04931719,Comparing Efficacy of PRP Combined With Different Hyaluronan for the Treatment of Knee Osteoarthritis,Knee Osteoarthritis,Combination Product: PRP+Artz group|Combination Product: PRP+ HYAJOINT Plus group,Kaohsiung Veterans General Hospital.,Phase 2|Phase 3,95,Other,"July 1, 2019","June 30, 2020","June 30, 2020"
40,NCT04919473,Dose-Escalation Study to Evaluate the Safety and Tolerability of Intravitreal vMCO-I in Patients With Advanced Retinitis Pigmentosa,Retinitis Pigmentosa|Retinal Diseases|Retinal Degeneration,Biological: Gene Therapy product:vMCO-I,Nanoscope Therapeutics Inc.,Phase 1|Phase 2,11,Industry,"October 23, 2019","February 25, 2020","October 31, 2020"
41,NCT04916756,A Prospective Pilot Study to Explore Efficacy and Safety of Baricitinib in Active Primary Sjogren's Syndrome Patients,Sjogren's Syndrome,Drug: Baricitinib 2 MG,Peking Union Medical College Hospital,Phase 1|Phase 2,11,Other,"January 16, 2020","December 24, 2020","March 25, 2021"
42,NCT04907942,Feasibility and Acceptability of Click's EMA and Text Message Intervention for STRESS Management,"Stress, Psychological|Loneliness|Covid19|Stress",Device: EMA + Automated Text Message Intervention|Behavioral: EMA Alone,"Click Therapeutics, Inc.",Phase 1|Phase 2,82,Industry,"October 29, 2020","December 18, 2020","June 20, 2021"
43,NCT04906538,Objective Results of Anterior Cruciate Ligament Reconstruction With and Without Internal Suture Augmentation Technique,Anterior Cruciate Ligament Injuries,Procedure: all- inside anterior cruciate ligament reconstruction,Ain Shams University,Phase 2|Phase 3,38,Other,"September 1, 2018","April 1, 2021","April 1, 2021"
44,NCT04893941,Dose Escalation Trial of CM310 in Patients With Moderate-to-Severe Atopic Dermatitis (AD),Moderate-to-severe Atopic Dermatitis,Drug: CM310|Drug: Placebo,Keymed Biosciences Co.Ltd,Phase 1|Phase 2,39,Industry,"July 21, 2020","January 22, 2021","January 22, 2021"
45,NCT04879511,Effect of Metformin in Children With Type 1 Diabetes,Effect of Change in T1DM Glycemic Control,Drug: metformin|Drug: Basal/bolus insulin,Ain Shams University,Phase 2|Phase 3,80,Other,"February 10, 2018","January 1, 2021","January 29, 2021"
46,NCT04879030,Combination Antibiotic Therapy Compared to Monotherapy in the Treatment of Acute COPD,COPD Exacerbation Acute,Drug: Beta-Lactams|Drug: Fluoroquinolone,Haiphong University of Medicine and Pharmacy,Phase 2|Phase 3,170,Other,"January 1, 2020","August 30, 2020","December 30, 2020"
47,NCT04876976,Isoamyl 2-Cyanoacrylate in the Urethro-cutaneous Fistula Repair,Hypospadias,"Drug: Cyanoacrylate, Isobutyl|Procedure: Classic surgical repair",Ain Shams University,Phase 2|Phase 3,40,Other,"January 1, 2017","January 1, 2020","January 1, 2020"
48,NCT04870502,Effect of Ubiquinol Supplementation on Ovulation Induction in Clomiphene Citrate Resistance,Polycystic Ovarian Syndrome,Drug: Controlled ovarian stimulation by Combined Clomiphene Citrate and Ubiquinol Versus hMG,Saudi German Hospital - Madinah,Phase 2|Phase 3,161,Other,"April 1, 2019","July 31, 2020","July 31, 2020"
49,NCT04869969,Supine Percutaneous Nephrolithotomy,Renal Stone,Procedure: percutaneous nephrolithotomy (supine position)|Procedure: percutaneous nephrolithotomy ( prone position),Ain Shams University,Phase 2|Phase 3,70,Other,"June 1, 2019","January 1, 2021","September 30, 2021"
50,NCT04857346,Antimicrobial Photodynamic Therapy in Chronic Periodontitis and Diabetes Mellitus,Type 2 Diabetes Mellitus|Prediabetic State|Chronic Periodontitis,Drug: Indocyanine green,King Saud University,Phase 2|Phase 3,80,Other,"June 1, 2020","December 12, 2020","February 1, 2021"
51,NCT04852510,Amelioration of Polycystic Ovary Syndrome Related Disorders by Supplementation of Thymoquinone and Metformin,Polycystic Ovary Syndrome (PCOS),Drug: Metformin Versus a combination of Metformin and Thymoquinone (TQ),Saudi German Hospital - Madinah,Phase 2|Phase 3,253,Other,"February 1, 2019","August 31, 2020","August 31, 2020"
